module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.15.mlp.up_proj,111,15,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08483410190498858,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.15.mlp.down_proj,112,15,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.12085525656770864,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.16.self_attn.q_proj,113,16,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.28752197081259045,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.16.self_attn.k_proj,114,16,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.19518981604249683,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.16.self_attn.v_proj,115,16,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2407186661333465,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.16.self_attn.o_proj,116,16,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.1590422265838887,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.16.mlp.gate_proj,117,16,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04835745696106293,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.16.mlp.up_proj,118,16,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08318317131216384,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.16.mlp.down_proj,119,16,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.397898429876588,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.17.self_attn.q_proj,120,17,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.3020009057847568,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.17.self_attn.k_proj,121,17,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2168177579552316,2.451275,1.257995,0.03729,0.0,dense_bf16,32
