method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer_type:2:up_proj,layer_type,2,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580046715335138,0.00011621669313921501,7.085175698777828,65408,128069.16955566406,1.9578884548403745
dense_nvfp4,layer_type:2:down_proj,layer_type,2,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9587939546066255,0.0009054997662509834,7.0907701155256895,65408,128120.79498291016,1.9578884548403745
dense_nvfp4,layer_type:3:q_proj,layer_type,3,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580679495040685,0.0001794946636939354,7.085624048502251,65408,128073.30844116211,1.9578884548403745
dense_nvfp4,layer_type:3:k_proj,layer_type,3,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958101718626377,0.00021326378600239337,7.085863327847481,65408,128075.51721191406,1.9578884548403745
dense_nvfp4,layer_type:3:v_proj,layer_type,3,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958790382527092,0.0009019276867174852,7.0907447867761215,65408,128120.56134033203,1.9578884548403745
dense_nvfp4,layer_type:3:o_proj,layer_type,3,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580421522405516,0.00015369740017701083,7.0854412611492075,65408,128071.62109375,1.9578884548403745
dense_nvfp4,layer_type:3:gate_proj,layer_type,3,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9576757322785439,-0.0002127225618306916,7.082845489631783,65408,128047.654296875,1.9578884548403745
dense_nvfp4,layer_type:3:up_proj,layer_type,3,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.957830304035702,-5.815080467264089e-05,7.083940382122342,65408,128057.76452636719,1.9578884548403745
dense_nvfp4,layer_type:3:down_proj,layer_type,3,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9587069383572693,0.0008184835168947302,7.090153130149456,65408,128115.10342407227,1.9578884548403745
dense_nvfp4,layer_type:4:q_proj,layer_type,4,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578898965495906,1.4417092160101674e-06,7.084362544516685,65408,128061.66235351562,1.9578884548403745
dense_nvfp4,layer_type:4:k_proj,layer_type,4,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9576398537816833,-0.000248601058691289,7.082591372340819,65408,128045.30755615234,1.9578884548403745
dense_nvfp4,layer_type:4:v_proj,layer_type,4,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580691901205103,0.00018073528013573537,7.085632839049399,65408,128073.38958740234,1.9578884548403745
dense_nvfp4,layer_type:4:o_proj,layer_type,4,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9575731563008227,-0.00031529853955181153,7.082118997091614,65408,128040.94500732422,1.9578884548403745
dense_nvfp4,layer_type:4:gate_proj,layer_type,4,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9582221783303935,0.0003337234900189223,7.086716940258572,65408,128083.39624023438,1.9578884548403745
dense_nvfp4,layer_type:4:up_proj,layer_type,4,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584649593629482,0.0005765045225736287,7.08843766958652,65408,128099.27606201172,1.9578884548403745
dense_nvfp4,layer_type:4:down_proj,layer_type,4,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9582011914299893,0.00031273658961472606,7.086568213596616,65408,128082.02352905273,1.9578884548403745
dense_nvfp4,layer_type:5:q_proj,layer_type,5,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579095457864601,2.1090946085600137e-05,7.08450174820201,65408,128062.94757080078,1.9578884548403745
