module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.7.self_attn.o_proj,53,7,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.15587410836724352,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.045892316518848966,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.7.mlp.up_proj,55,7,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.10141740624424471,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.7.mlp.down_proj,56,7,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1346030624017577,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.8.self_attn.q_proj,57,8,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.02038771177120085,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.8.self_attn.k_proj,58,8,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.8.self_attn.v_proj,59,8,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.8.self_attn.o_proj,60,8,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.040327647617629775,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.8.mlp.up_proj,62,8,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.09267033535890291,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.8.mlp.down_proj,63,8,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1238857360709747,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.9.self_attn.q_proj,64,9,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.02226963626186273,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.9.self_attn.k_proj,65,9,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.9.self_attn.v_proj,66,9,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.9.self_attn.o_proj,67,9,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.9.mlp.gate_proj,68,9,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.039307625554875034,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.9.mlp.up_proj,69,9,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.0902215870237755,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.9.mlp.down_proj,70,9,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1240135745222515,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.10.self_attn.q_proj,71,10,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.023467421883818635,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.10.self_attn.k_proj,72,10,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.10.self_attn.v_proj,73,10,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.10.self_attn.o_proj,74,10,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.10.mlp.gate_proj,75,10,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03914702140519174,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.10.mlp.up_proj,76,10,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.09119036986657791,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.10.mlp.down_proj,77,10,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1253273949245788,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.11.self_attn.q_proj,78,11,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.022703240176518393,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.11.self_attn.k_proj,79,11,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.11.self_attn.v_proj,80,11,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.11.self_attn.o_proj,81,11,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.11.mlp.gate_proj,82,11,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03851927703304003,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.11.mlp.up_proj,83,11,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.0911866429507773,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.11.mlp.down_proj,84,11,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12188857970486011,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
