method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,module_name,module_family,numel,kernel_module_type,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error
dense_nvfp4,layer_type:7:k_proj,layer_type,7,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9575534538746813,-0.0003350009656932773,7.081979463539729,65408,128039.65631103516,1.9578884548403745,model.layers.7.self_attn.k_proj,attention,16777216,NVFP4Linear,4.685442036134191e-06,0.007501466482880836,0.08661100670746667,0.025390625,0.00795313485650695,0.0033438607875693567,0.057826125476028195,1.0
dense_nvfp4,layer_type:7:v_proj,layer_type,7,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584286114940905,0.0005401566537159841,7.088180024666151,65408,128096.89862060547,1.9578884548403745,model.layers.7.self_attn.v_proj,attention,16777216,NVFP4Linear,1.4390819842446945e-06,0.007514663827266539,0.08668716068292086,0.010498046875,0.0019490855947879027,0.016689904767995443,0.12918941430316744,0.34375
dense_nvfp4,layer_type:7:o_proj,layer_type,7,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581941261216853,0.0003056712813107598,7.086518144984245,65408,128081.56140136719,1.9578884548403745,model.layers.7.self_attn.o_proj,attention,16777216,NVFP4Linear,1.3862063497072086e-06,0.007517744273640742,0.08670492646695885,0.0498046875,5.122501525534062e-05,0.016998620812759508,0.13037875905514482,0.38720703125
dense_nvfp4,layer_type:7:gate_proj,layer_type,7,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9573806419297908,-0.0005078129105837714,7.0807557186368735,65408,128028.35302734375,1.9578884548403745,model.layers.7.mlp.gate_proj,mlp,45088768,NVFP4Linear,2.927500835814795e-06,0.007442000212856136,0.08626702853846385,0.02197265625,0.0013837613839504505,0.008061667155336093,0.08978678719798416,0.5234375
dense_nvfp4,layer_type:7:up_proj,layer_type,7,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9574760508863893,-0.0004124039539852298,7.081431318380538,65408,128034.59353637695,1.9578884548403745,model.layers.7.mlp.up_proj,mlp,45088768,NVFP4Linear,2.269773218824073e-06,0.007443192350798742,0.08627393784219393,0.01300048828125,0.0010014137667387205,0.014907679300154209,0.12209700774447427,0.25
dense_nvfp4,layer_type:7:down_proj,layer_type,7,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9583274077062738,0.00043895286589923366,7.087462710297006,65408,128090.27908325195,1.9578884548403745,model.layers.7.mlp.down_proj,mlp,45088768,NVFP4Linear,2.2745990400137597e-06,0.0075438743322625975,0.08685547957534169,0.038818359375,0.0001286381063891895,0.017109349057589724,0.13080271043670968,0.625
dense_nvfp4,layer_type:8:q_proj,layer_type,8,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578582554647368,-3.0199375637751658e-05,7.084138391146525,65408,128059.5927734375,1.9578884548403745,model.layers.8.self_attn.q_proj,attention,16777216,NVFP4Linear,4.731503850052832e-06,0.007499229628282341,0.08659809252103848,0.029296875,0.007533957330451813,0.004386786343967891,0.06623281923614524,1.15625
dense_nvfp4,layer_type:8:k_proj,layer_type,8,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580387597914544,0.000150304951079816,7.08541722419117,65408,128071.39920043945,1.9578884548403745,model.layers.8.self_attn.k_proj,attention,16777216,NVFP4Linear,4.780813469551504e-06,0.007490305818150645,0.08654655289582969,0.0244140625,0.008087398768111598,0.0032891780155305255,0.05735135582992372,0.8935546875
dense_nvfp4,layer_type:8:v_proj,layer_type,8,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9588474653471706,0.000959010506796032,7.091149558037641,65408,128124.29501342773,1.9578884548403745,model.layers.8.self_attn.v_proj,attention,16777216,NVFP4Linear,1.5171391396506806e-06,0.007505971638513666,0.08663701078934836,0.010498046875,0.002059641077721608,0.0162089582456509,0.12731440706240163,0.33203125
dense_nvfp4,layer_type:8:o_proj,layer_type,8,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579818150768542,9.336023647965597e-05,7.08501375861724,65408,128067.67456054688,1.9578884548403745,model.layers.8.self_attn.o_proj,attention,16777216,NVFP4Linear,1.4707275113323703e-06,0.007516236105940442,0.0866962289026486,0.06640625,8.276977087007253e-05,0.019002511667195788,0.13784959799432056,0.5
