n,seed,accuracy,abs_error
750,9,0.9866666666666667,0.0003333333333332966
750,10,0.9853333333333333,0.0016666666666667052
750,11,0.988,0.0010000000000000009
750,12,0.9893333333333333,0.0023333333333332984
750,13,0.9813333333333333,0.005666666666666709
750,14,0.988,0.0010000000000000009
750,15,0.9853333333333333,0.0016666666666667052
750,16,0.988,0.0010000000000000009
750,17,0.9866666666666667,0.0003333333333332966
750,18,0.9893333333333333,0.0023333333333332984
750,19,0.9826666666666667,0.0043333333333333
750,20,0.9826666666666667,0.0043333333333333
750,21,0.9813333333333333,0.005666666666666709
750,22,0.9906666666666667,0.003666666666666707
750,23,0.9866666666666667,0.0003333333333332966
750,24,0.9853333333333333,0.0016666666666667052
750,25,0.984,0.0030000000000000027
750,26,0.9826666666666667,0.0043333333333333
750,27,0.9906666666666667,0.003666666666666707
750,28,0.992,0.0050000000000000044
750,29,0.992,0.0050000000000000044
1000,0,0.985,0.0020000000000000018
1000,1,0.988,0.0010000000000000009
1000,2,0.986,0.0010000000000000009
1000,3,0.988,0.0010000000000000009
1000,4,0.992,0.0050000000000000044
1000,5,0.985,0.0020000000000000018
1000,6,0.986,0.0010000000000000009
1000,7,0.989,0.0020000000000000018
1000,8,0.987,0.0
1000,9,0.984,0.0030000000000000027
1000,10,0.982,0.0050000000000000044
1000,11,0.982,0.0050000000000000044
1000,12,0.988,0.0010000000000000009
1000,13,0.983,0.0040000000000000036
1000,14,0.987,0.0
1000,15,0.985,0.0020000000000000018
1000,16,0.988,0.0010000000000000009
1000,17,0.986,0.0010000000000000009
1000,18,0.99,0.0030000000000000027
1000,19,0.982,0.0050000000000000044
1000,20,0.984,0.0030000000000000027
1000,21,0.983,0.0040000000000000036
1000,22,0.99,0.0030000000000000027
1000,23,0.984,0.0030000000000000027
1000,24,0.988,0.0010000000000000009
1000,25,0.985,0.0020000000000000018
1000,26,0.981,0.006000000000000005
1000,27,0.987,0.0
1000,28,0.993,0.006000000000000005
1000,29,0.99,0.0030000000000000027
1500,0,0.9866666666666667,0.0003333333333332966
1500,1,0.9846666666666667,0.0023333333333332984
1500,2,0.984,0.0030000000000000027
1500,3,0.9873333333333333,0.0003333333333332966
1500,4,0.9873333333333333,0.0003333333333332966
1500,5,0.9913333333333333,0.0043333333333333
1500,6,0.986,0.0010000000000000009
1500,7,0.988,0.0010000000000000009
1500,8,0.9893333333333333,0.0023333333333332984
1500,9,0.986,0.0010000000000000009
1500,10,0.9846666666666667,0.0023333333333332984
1500,11,0.9853333333333333,0.0016666666666667052
1500,12,0.9893333333333333,0.0023333333333332984
1500,13,0.9866666666666667,0.0003333333333332966
1500,14,0.9853333333333333,0.0016666666666667052
1500,15,0.9826666666666667,0.0043333333333333
1500,16,0.9866666666666667,0.0003333333333332966
1500,17,0.9866666666666667,0.0003333333333332966
1500,18,0.9893333333333333,0.0023333333333332984
1500,19,0.9866666666666667,0.0003333333333332966
1500,20,0.9853333333333333,0.0016666666666667052
1500,21,0.9833333333333333,0.003666666666666707
1500,22,0.9893333333333333,0.0023333333333332984
1500,23,0.986,0.0010000000000000009
1500,24,0.986,0.0010000000000000009
1500,25,0.9873333333333333,0.0003333333333332966
1500,26,0.984,0.0030000000000000027
1500,27,0.9913333333333333,0.0043333333333333
1500,28,0.992,0.0050000000000000044
1500,29,0.9873333333333333,0.0003333333333332966
2000,0,0.987,0.0
2000,1,0.9865,0.0004999999999999449
2000,2,0.984,0.0030000000000000027
2000,3,0.9855,0.0014999999999999458
2000,4,0.9865,0.0004999999999999449
2000,5,0.99,0.0030000000000000027
