method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,type:q_proj,type,,q_proj,32,32,1.9591901754913033,0.001301720650928706,7.093580183400936,65408,128146.71099853516,1.9578884548403745
dense_nvfp4,type:k_proj,type,,k_proj,32,32,1.9578890371229318,5.822825572820989e-07,7.08435645602927,65408,128061.60614013672,1.9578884548403745
dense_nvfp4,type:v_proj,type,,v_proj,32,32,1.961928444599219,0.004039989758844342,7.113030933421954,65408,128325.8157043457,1.9578884548403745
dense_nvfp4,type:o_proj,type,,o_proj,32,32,1.95911691380107,0.0012284589606954555,7.093060514763029,65408,128141.91909790039,1.9578884548403745
dense_nvfp4,type:gate_proj,type,,gate_proj,32,32,1.9602421421827403,0.00235368734236574,7.101046319851819,65408,128215.51803588867,1.9578884548403745
dense_nvfp4,type:up_proj,type,,up_proj,32,32,1.9609160894517097,0.0030276346113351504,7.105833663653345,65408,128259.59957885742,1.9578884548403745
dense_nvfp4,type:down_proj,type,,down_proj,32,32,1.9847051789382666,0.026816724097892042,7.276901685289167,65408,129815.59634399414,1.9578884548403745
dense_nvfp4,layer_type:0:q_proj,layer_type,0,q_proj,1,1,1.957729880823781,-0.00015857401659347126,7.083229025795055,65408,128051.19604492188,1.9578884548403745
dense_nvfp4,layer_type:0:k_proj,layer_type,0,k_proj,1,1,1.9580397008683117,0.00015124602793714637,7.085423892116482,65408,128071.46075439453,1.9578884548403745
dense_nvfp4,layer_type:0:v_proj,layer_type,0,v_proj,1,1,1.9584282699629751,0.0005398151226005954,7.088177603832534,65408,128096.87628173828,1.9578884548403745
dense_nvfp4,layer_type:0:o_proj,layer_type,0,o_proj,1,1,1.9578878277668514,-6.270735231073132e-07,7.084347888524895,65408,128061.52703857422,1.9578884548403745
dense_nvfp4,layer_type:0:gate_proj,layer_type,0,gate_proj,1,1,1.9577780133824059,-0.00011044145796867966,7.083569967936535,65408,128054.3442993164,1.9578884548403745
dense_nvfp4,layer_type:0:up_proj,layer_type,0,up_proj,1,1,1.9577732011530031,-0.00011525368737141939,7.083535880254878,65408,128054.02954101562,1.9578884548403745
dense_nvfp4,layer_type:0:down_proj,layer_type,0,down_proj,1,1,1.9578823940627963,-6.060777578253962e-06,7.084309394379628,65408,128061.17163085938,1.9578884548403745
dense_nvfp4,layer_type:1:q_proj,layer_type,1,q_proj,1,1,1.9580169769182598,0.0001285220778852736,7.085262885127225,65408,128069.97442626953,1.9578884548403745
dense_nvfp4,layer_type:1:k_proj,layer_type,1,k_proj,1,1,1.957770816034067,-0.00011763880630755175,7.083518985199464,65408,128053.87353515625,1.9578884548403745
dense_nvfp4,layer_type:1:v_proj,layer_type,1,v_proj,1,1,1.958287732241905,0.0003992774015304512,7.087181517501042,65408,128087.68399047852,1.9578884548403745
dense_nvfp4,layer_type:1:o_proj,layer_type,1,o_proj,1,1,1.958143560853723,0.0002551060133484384,7.08615982235474,65408,128078.25402832031,1.9578884548403745
dense_nvfp4,layer_type:1:gate_proj,layer_type,1,gate_proj,1,1,1.9581962919515172,0.00030783711114268364,7.086533493193269,65408,128081.70306396484,1.9578884548403745
dense_nvfp4,layer_type:1:up_proj,layer_type,1,up_proj,1,1,1.9577481247440942,-0.00014033009628033888,7.083358252839762,65408,128052.38934326172,1.9578884548403745
dense_nvfp4,layer_type:1:down_proj,layer_type,1,down_proj,1,1,1.9798263313718971,0.02193787653152257,7.241485257140189,65408,129496.48068237305,1.9578884548403745
dense_nvfp4,layer_type:2:q_proj,layer_type,2,q_proj,1,1,1.957916479054729,2.802421435443847e-05,7.0845508671234585,65408,128063.40106201172,1.9578884548403745
dense_nvfp4,layer_type:2:k_proj,layer_type,2,k_proj,1,1,1.9579055547247661,1.709988439158039e-05,7.084473473574885,65408,128062.6865234375,1.9578884548403745
dense_nvfp4,layer_type:2:v_proj,layer_type,2,v_proj,1,1,1.9578881217075654,-3.331328091160657e-07,7.084349970903477,65408,128061.54626464844,1.9578884548403745
dense_nvfp4,layer_type:2:o_proj,layer_type,2,o_proj,1,1,1.9581307357071431,0.00024228086676858496,7.086068941899109,65408,128077.41516113281,1.9578884548403745
dense_nvfp4,layer_type:2:gate_proj,layer_type,2,gate_proj,1,1,1.9579123638847336,2.3909044359005094e-05,7.084521713052286,65408,128063.13189697266,1.9578884548403745
dense_nvfp4,layer_type:2:up_proj,layer_type,2,up_proj,1,1,1.9579017204314528,1.3265591078281957e-05,7.084446309677694,65408,128062.43572998047,1.9578884548403745
dense_nvfp4,layer_type:2:down_proj,layer_type,2,down_proj,1,1,1.9583811414685035,0.0004926866281289577,7.0878435565651525,65408,128093.79370117188,1.9578884548403745
dense_nvfp4,layer_type:3:q_proj,layer_type,3,q_proj,1,1,1.9579710503147072,8.259547433264736e-05,7.084937490539825,65408,128066.97045898438,1.9578884548403745
dense_nvfp4,layer_type:3:k_proj,layer_type,3,k_proj,1,1,1.9579165989638774,2.81441235028268e-05,7.084551716625971,65408,128063.4089050293,1.9578884548403745
dense_nvfp4,layer_type:3:v_proj,layer_type,3,v_proj,1,1,1.9583636244682416,0.00047516962786708916,7.087719399895145,65408,128092.64794921875,1.9578884548403745
