n,seed,accuracy,abs_error
200,13,0.975,0.011400000000000077
200,14,0.985,0.0014000000000000679
200,15,0.99,0.0035999999999999366
200,16,0.995,0.008599999999999941
200,17,0.99,0.0035999999999999366
200,18,0.99,0.0035999999999999366
200,19,0.985,0.0014000000000000679
200,20,0.99,0.0035999999999999366
200,21,0.975,0.011400000000000077
200,22,0.995,0.008599999999999941
200,23,0.995,0.008599999999999941
200,24,0.99,0.0035999999999999366
200,25,0.98,0.006400000000000072
200,26,0.99,0.0035999999999999366
200,27,0.99,0.0035999999999999366
200,28,0.985,0.0014000000000000679
200,29,0.98,0.006400000000000072
300,0,0.9833333333333333,0.003066666666666773
300,1,0.9866666666666667,0.0002666666666666373
300,2,0.9933333333333333,0.006933333333333236
300,3,0.9766666666666667,0.009733333333333372
300,4,0.9866666666666667,0.0002666666666666373
300,5,0.99,0.0035999999999999366
300,6,0.98,0.006400000000000072
300,7,0.99,0.0035999999999999366
300,8,0.99,0.0035999999999999366
300,9,0.9866666666666667,0.0002666666666666373
300,10,0.9966666666666667,0.010266666666666646
300,11,0.9933333333333333,0.006933333333333236
300,12,0.9866666666666667,0.0002666666666666373
300,13,0.9766666666666667,0.009733333333333372
300,14,0.99,0.0035999999999999366
300,15,0.9933333333333333,0.006933333333333236
300,16,0.99,0.0035999999999999366
300,17,0.9833333333333333,0.003066666666666773
300,18,0.99,0.0035999999999999366
300,19,0.9866666666666667,0.0002666666666666373
300,20,0.9766666666666667,0.009733333333333372
300,21,0.98,0.006400000000000072
300,22,0.9933333333333333,0.006933333333333236
300,23,0.9933333333333333,0.006933333333333236
300,24,0.9866666666666667,0.0002666666666666373
300,25,0.98,0.006400000000000072
300,26,0.9766666666666667,0.009733333333333372
300,27,0.99,0.0035999999999999366
300,28,0.9866666666666667,0.0002666666666666373
300,29,0.98,0.006400000000000072
500,0,0.986,0.00040000000000006697
500,1,0.986,0.00040000000000006697
500,2,0.994,0.00759999999999994
500,3,0.984,0.0024000000000000687
500,4,0.99,0.0035999999999999366
500,5,0.982,0.0044000000000000705
500,6,0.978,0.008400000000000074
500,7,0.988,0.0015999999999999348
500,8,0.988,0.0015999999999999348
500,9,0.986,0.00040000000000006697
500,10,0.992,0.005599999999999938
500,11,0.988,0.0015999999999999348
500,12,0.988,0.0015999999999999348
500,13,0.978,0.008400000000000074
500,14,0.988,0.0015999999999999348
500,15,0.986,0.00040000000000006697
500,16,0.988,0.0015999999999999348
500,17,0.984,0.0024000000000000687
500,18,0.99,0.0035999999999999366
500,19,0.986,0.00040000000000006697
500,20,0.978,0.008400000000000074
500,21,0.984,0.0024000000000000687
500,22,0.986,0.00040000000000006697
500,23,0.99,0.0035999999999999366
500,24,0.984,0.0024000000000000687
500,25,0.976,0.010400000000000076
500,26,0.98,0.006400000000000072
500,27,0.99,0.0035999999999999366
500,28,0.99,0.0035999999999999366
500,29,0.984,0.0024000000000000687
750,0,0.984,0.0024000000000000687
750,1,0.9893333333333333,0.0029333333333332323
750,2,0.988,0.0015999999999999348
750,3,0.9853333333333333,0.0010666666666667712
750,4,0.9906666666666667,0.004266666666666641
750,5,0.984,0.0024000000000000687
750,6,0.9853333333333333,0.0010666666666667712
750,7,0.9893333333333333,0.0029333333333332323
750,8,0.9893333333333333,0.0029333333333332323
750,9,0.9853333333333333,0.0010666666666667712
750,10,0.9866666666666667,0.0002666666666666373
