n,seed,accuracy,abs_error
100,19,0.96,0.0252
100,20,0.98,0.005199999999999982
100,21,0.98,0.005199999999999982
100,22,0.96,0.0252
100,23,0.99,0.0048000000000000265
100,24,0.99,0.0048000000000000265
100,25,0.98,0.005199999999999982
100,26,1.0,0.014800000000000035
100,27,0.99,0.0048000000000000265
100,28,0.99,0.0048000000000000265
100,29,1.0,0.014800000000000035
150,0,0.9733333333333334,0.011866666666666581
150,1,0.9866666666666667,0.0014666666666667272
150,2,1.0,0.014800000000000035
150,3,0.9866666666666667,0.0014666666666667272
150,4,0.98,0.005199999999999982
150,5,0.9933333333333333,0.008133333333333326
150,6,0.9866666666666667,0.0014666666666667272
150,7,0.9933333333333333,0.008133333333333326
150,8,0.9733333333333334,0.011866666666666581
150,9,1.0,0.014800000000000035
150,10,0.9933333333333333,0.008133333333333326
150,11,0.98,0.005199999999999982
150,12,0.9933333333333333,0.008133333333333326
150,13,0.9666666666666667,0.01853333333333329
150,14,0.9866666666666667,0.0014666666666667272
150,15,0.9933333333333333,0.008133333333333326
150,16,0.9933333333333333,0.008133333333333326
150,17,1.0,0.014800000000000035
150,18,0.9933333333333333,0.008133333333333326
150,19,0.9733333333333334,0.011866666666666581
150,20,0.9866666666666667,0.0014666666666667272
150,21,0.9866666666666667,0.0014666666666667272
150,22,0.9733333333333334,0.011866666666666581
150,23,0.9933333333333333,0.008133333333333326
150,24,0.9933333333333333,0.008133333333333326
150,25,0.9866666666666667,0.0014666666666667272
150,26,1.0,0.014800000000000035
150,27,0.9866666666666667,0.0014666666666667272
150,28,0.9866666666666667,0.0014666666666667272
150,29,0.9933333333333333,0.008133333333333326
200,0,0.98,0.005199999999999982
200,1,0.98,0.005199999999999982
200,2,0.995,0.009800000000000031
200,3,0.985,0.00019999999999997797
200,4,0.98,0.005199999999999982
200,5,0.99,0.0048000000000000265
200,6,0.99,0.0048000000000000265
200,7,0.99,0.0048000000000000265
200,8,0.98,0.005199999999999982
200,9,0.99,0.0048000000000000265
200,10,0.995,0.009800000000000031
200,11,0.985,0.00019999999999997797
200,12,0.99,0.0048000000000000265
200,13,0.97,0.015199999999999991
200,14,0.98,0.005199999999999982
200,15,0.995,0.009800000000000031
200,16,0.995,0.009800000000000031
200,17,0.995,0.009800000000000031
200,18,0.995,0.009800000000000031
200,19,0.975,0.010199999999999987
200,20,0.985,0.00019999999999997797
200,21,0.98,0.005199999999999982
200,22,0.975,0.010199999999999987
200,23,0.995,0.009800000000000031
200,24,0.985,0.00019999999999997797
200,25,0.98,0.005199999999999982
200,26,0.995,0.009800000000000031
200,27,0.99,0.0048000000000000265
200,28,0.99,0.0048000000000000265
200,29,0.985,0.00019999999999997797
300,0,0.9833333333333333,0.0018666666666666831
300,1,0.9866666666666667,0.0014666666666667272
300,2,0.9866666666666667,0.0014666666666667272
300,3,0.98,0.005199999999999982
300,4,0.98,0.005199999999999982
300,5,0.99,0.0048000000000000265
300,6,0.9866666666666667,0.0014666666666667272
300,7,0.99,0.0048000000000000265
300,8,0.9833333333333333,0.0018666666666666831
300,9,0.99,0.0048000000000000265
300,10,0.9966666666666667,0.011466666666666736
300,11,0.99,0.0048000000000000265
300,12,0.99,0.0048000000000000265
300,13,0.9733333333333334,0.011866666666666581
300,14,0.9833333333333333,0.0018666666666666831
300,15,0.9933333333333333,0.008133333333333326
300,16,0.99,0.0048000000000000265
300,17,0.9866666666666667,0.0014666666666667272
300,18,0.9933333333333333,0.008133333333333326
300,19,0.9766666666666667,0.008533333333333282
300,20,0.9766666666666667,0.008533333333333282
300,21,0.9833333333333333,0.0018666666666666831
300,22,0.98,0.005199999999999982
300,23,0.9933333333333333,0.008133333333333326
