method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,128,384,256,384,1,1467.9372888058424
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,128,384,256,384,2,1464.8984298110008
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,128,384,512,768,0,1550.8352536708117
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,128,384,512,768,1,1524.5324913412333
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,128,384,512,768,2,1545.5498918890953
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,128,384,1024,1536,0,1644.3919371813536
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,128,384,1024,1536,1,1643.9504213631153
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,128,384,1024,1536,2,1646.4531011879444
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,128,384,2048,3072,0,1788.2320787757635
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,128,384,2048,3072,1,1795.9786504507065
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,128,384,2048,3072,2,1787.79730014503
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,128,384,4096,6144,0,2069.357540458441
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,128,384,4096,6144,1,2068.9471010118723
