name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.18.mlp.gate_proj,model.language_model.layers.18.mlp.gate_proj,131,18,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0010852171325111785,2.5708457841501398
model.language_model.layers.18.mlp.up_proj,model.language_model.layers.18.mlp.up_proj,132,18,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001899598897613649,2.5708457841501398
model.language_model.layers.18.mlp.down_proj,model.language_model.layers.18.mlp.down_proj,133,18,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00038127877412805206,3.4039856523906575
model.language_model.layers.19.self_attn.q_proj,model.language_model.layers.19.self_attn.q_proj,134,19,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.000211917911981858,1.257995
model.language_model.layers.19.self_attn.k_proj,model.language_model.layers.19.self_attn.k_proj,135,19,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001713658931038094,1.257995
model.language_model.layers.19.self_attn.v_proj,model.language_model.layers.19.self_attn.v_proj,136,19,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00035685924972123095,1.257995
model.language_model.layers.19.self_attn.o_proj,model.language_model.layers.19.self_attn.o_proj,137,19,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0004010227877447733,1.257995
model.language_model.layers.19.mlp.gate_proj,model.language_model.layers.19.mlp.gate_proj,138,19,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0016872425546982696,2.5708457841501398
model.language_model.layers.19.mlp.up_proj,model.language_model.layers.19.mlp.up_proj,139,19,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.002757035614070604,2.5708457841501398
model.language_model.layers.19.mlp.down_proj,model.language_model.layers.19.mlp.down_proj,140,19,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,0.0011090463737850928,4.5866232192169125
model.language_model.layers.20.self_attn.q_proj,model.language_model.layers.20.self_attn.q_proj,141,20,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00018587151291645927,1.257995
model.language_model.layers.20.self_attn.k_proj,model.language_model.layers.20.self_attn.k_proj,142,20,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00016500848679067292,1.257995
model.language_model.layers.20.self_attn.v_proj,model.language_model.layers.20.self_attn.v_proj,143,20,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00037841747210429623,1.257995
model.language_model.layers.20.self_attn.o_proj,model.language_model.layers.20.self_attn.o_proj,144,20,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.003680089605318246,1.8060494999999999
model.language_model.layers.20.mlp.gate_proj,model.language_model.layers.20.mlp.gate_proj,145,20,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.002520792759775747,2.5708457841501398
model.language_model.layers.20.mlp.up_proj,model.language_model.layers.20.mlp.up_proj,146,20,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.004201446473881876,2.5708457841501398
model.language_model.layers.20.mlp.down_proj,model.language_model.layers.20.mlp.down_proj,147,20,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.0003159559139725185,3.4039856523906575
