module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean,method,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
6,model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,4096,11008,45088768,-3.2061507226899266e-07,0.01612473651766777,0.012813741341233253,0.341796875,2.557177867856808e-05,1.0297051668167114,1.63874089717865,1.690166711807251,1.8084276914596558,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.04886464774608612,sparse_nvfp4,8.232181696870993e-05,0.31661371129223553,0.5626843798189493,0.112060546875,0.00016798629067759678,0.0413818602627257,0.20342531863739505,0.21875,0.0637135663557007
6,model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,4096,11008,45088768,-3.2061507226899266e-07,0.01612473651766777,0.012813741341233253,0.341796875,2.557177867856808e-05,1.0297051668167114,1.63874089717865,1.690166711807251,1.8084276914596558,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.04886464774608612,marlin_nvfp4,1.9513497326717995e-06,0.007504985964111575,0.08663132207297529,0.01397705078125,1.190872713185706e-05,0.002933604165492543,0.05416275625826794,0.0390625,0.0637135663557007
7,model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,11008,4096,45088768,-1.9985723156423774e-06,0.016809994354844093,0.01332381833344698,0.52734375,0.0001343571930192411,1.7578797340393066,6.554708003997803,1.0752086639404297,1.4369772672653198,-4.835903263652696e-06,0.004433549489836272,0.001404570950314316,3.953125,0.0003679824429889058,dense_nvfp4,2.2011292965671177e-06,0.007789514809741619,0.08825822800023587,0.0439453125,3.567724657926874e-07,0.0018501069013047826,0.04301286901968738,0.078125,0.01388664244573935
7,model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,11008,4096,45088768,-1.9985723156423774e-06,0.016809994354844093,0.01332381833344698,0.52734375,0.0001343571930192411,1.7578797340393066,6.554708003997803,1.0752086639404297,1.4369772672653198,-4.835903263652696e-06,0.004433549489836272,0.001404570950314316,3.953125,0.0003679824429889058,sparse_bf16,6.314566857073196e-05,0.22346443767291618,0.47272025308094867,0.1650390625,1.695389157063687e-06,0.008791741181348518,0.09376428521216656,0.046875,0.01388664244573935
7,model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,11008,4096,45088768,-1.9985723156423774e-06,0.016809994354844093,0.01332381833344698,0.52734375,0.0001343571930192411,1.7578797340393066,6.554708003997803,1.0752086639404297,1.4369772672653198,-4.835903263652696e-06,0.004433549489836272,0.001404570950314316,3.953125,0.0003679824429889058,sparse_nvfp4,0.00010038907964562261,0.3552641018660231,0.5960403525484018,0.28515625,3.4899729186577133e-06,0.018097873578414952,0.13452833745503195,0.078125,0.01388664244573935
7,model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,11008,4096,45088768,-1.9985723156423774e-06,0.016809994354844093,0.01332381833344698,0.52734375,0.0001343571930192411,1.7578797340393066,6.554708003997803,1.0752086639404297,1.4369772672653198,-4.835903263652696e-06,0.004433549489836272,0.001404570950314316,3.953125,0.0003679824429889058,marlin_nvfp4,2.2011292965671177e-06,0.007789514809741619,0.08825822800023587,0.0439453125,3.567724657926874e-07,0.0018501069013047826,0.04301286901968738,0.078125,0.01388664244573935
8,model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,-4.032527613162529e-06,0.026456724852323532,0.017509445548057556,0.47265625,0.006599247455596924,1.4396253824234009,4.37037467956543,1.6661643981933594,4.918698787689209,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07735353708267212,dense_nvfp4,5.530468115466647e-06,0.007901138780059496,0.08888835008064609,0.041015625,0.0003354096393195505,0.000361163992364272,0.01900431509853149,0.20703125,0.9636859943308826
8,model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,-4.032527613162529e-06,0.026456724852323532,0.017509445548057556,0.47265625,0.006599247455596924,1.4396253824234009,4.37037467956543,1.6661643981933594,4.918698787689209,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07735353708267212,sparse_bf16,0.00012867980694863945,0.1838392323516138,0.42876477508257815,0.25,0.00031274193361241487,0.00033675575201812073,0.01835090602717263,0.40625,0.9636859943308826
8,model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,-4.032527613162529e-06,0.026456724852323532,0.017509445548057556,0.47265625,0.006599247455596924,1.4396253824234009,4.37037467956543,1.6661643981933594,4.918698787689209,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07735353708267212,sparse_nvfp4,0.00021235317399259657,0.30337972538153857,0.5507991697357019,0.24609375,0.0011362524810465402,0.0012234993699677425,0.034978555858807873,0.671875,0.9636859943308826
8,model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,-4.032527613162529e-06,0.026456724852323532,0.017509445548057556,0.47265625,0.006599247455596924,1.4396253824234009,4.37037467956543,1.6661643981933594,4.918698787689209,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07735353708267212,marlin_nvfp4,5.530468115466647e-06,0.007901138780059496,0.08888835008064609,0.041015625,0.0003354096393195505,0.000361163992364272,0.01900431509853149,0.20703125,0.9636859943308826
9,model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,-2.339013917662669e-06,0.026408636942505836,0.017670709639787674,0.57421875,0.006669104099273682,1.4542551040649414,4.771492958068848,1.656357765197754,5.356703281402588,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07629236578941345,dense_nvfp4,5.4974138947727624e-06,0.007882545387407956,0.08878370000967495,0.041015625,0.0003631535930708196,0.00034170866139097083,0.01848536343681051,0.2724609375,1.0309015181051913
